text,tag,id,className
"","a","","u-close-button"
"//www.khazanay.pk/cdn/shop/files/khazanay_logo_black_1.png?v=1717564008&width=175","img","","header__sticky-logo t4s-d-none t4s-d-none"
"Men","div","","pf-c"
"Women","div","","pf-c"
"","div","","pf-c"
"New Arrivals","div","","sc-pKreJ bIaXH pf-31_"
"New Arrivals","h3","","sc-cyRdfs qmQNK pf-32_"
"Store Returns","h3","","sc-cyRdfs qmQNK pf-57_"
"Not Now","button","button-1",""
