text,tag,id,className
"Preloved Shoes","h1","","collection-heading"
"https://cdn.shopify.com/s/files/1/1692/9471/files/FILTERS-4.gif?v=1720502723&width=2048","img","","sc-lmUbDS jhRUAf pf-14_ pf-image-1"
"https://cdn.shopify.com/s/files/1/1692/9471/files/d546d8c6-434a-49a9-a82c-bdca96dd9ccd-Img-shoe_large.jpg?v=1770730656","img","","snize-item-image "
"Men
6224","label","",""
